OBJECTID,Zip9,NewPOD,NewMTS,ChangeDate,Description,Zip9_1,Zip5,RecType,Name
208,840928001,18003,18003,1/1/1980 0:00:00,Alta,840928001,84092,P,PO BOX
209,840928002,18003,18003,1/1/1980 0:00:00,Alta,840928002,84092,P,PO BOX
210,840928003,18003,18003,1/1/1980 0:00:00,Alta,840928003,84092,P,PO BOX
211,840928004,18003,18003,1/1/1980 0:00:00,Alta,840928004,84092,P,PO BOX
212,840928005,18003,18003,1/1/1980 0:00:00,Alta,840928005,84092,P,PO BOX
213,840928006,18003,18003,1/1/1980 0:00:00,Alta,840928006,84092,P,PO BOX
214,840928007,18003,18003,1/1/1980 0:00:00,Alta,840928007,84092,P,PO BOX
215,840928008,18003,18003,1/1/1980 0:00:00,Alta,840928008,84092,P,PO BOX
216,840928009,18003,18003,1/1/1980 0:00:00,Alta,840928009,84092,P,PO BOX
217,840928010,18003,18003,1/1/1980 0:00:00,Alta,840928010,84092,P,PO BOX
218,840928011,18003,18003,1/1/1980 0:00:00,Alta,840928011,84092,P,PO BOX
219,840928012,18003,18003,1/1/1980 0:00:00,Alta,840928012,84092,P,PO BOX
220,840928013,18003,18003,1/1/1980 0:00:00,Alta,840928013,84092,P,PO BOX
221,840928014,18003,18003,1/1/1980 0:00:00,Alta,840928014,84092,P,PO BOX
222,840928015,18003,18003,1/1/1980 0:00:00,Alta,840928015,84092,P,PO BOX
223,840928016,18003,18003,1/1/1980 0:00:00,Alta,840928016,84092,P,PO BOX
224,840928017,18003,18003,1/1/1980 0:00:00,Alta,840928017,84092,P,PO BOX
225,840928018,18003,18003,1/1/1980 0:00:00,Alta,840928018,84092,P,PO BOX
226,840928019,18003,18003,1/1/1980 0:00:00,Alta,840928019,84092,P,PO BOX
227,840928020,18003,18003,1/1/1980 0:00:00,Alta,840928020,84092,P,PO BOX
228,840928021,18003,18003,1/1/1980 0:00:00,Alta,840928021,84092,P,PO BOX
229,840928022,18003,18003,1/1/1980 0:00:00,Alta,840928022,84092,P,PO BOX
230,840928023,18003,18003,1/1/1980 0:00:00,Alta,840928023,84092,P,PO BOX
231,840928024,18003,18003,1/1/1980 0:00:00,Alta,840928024,84092,P,PO BOX
232,840928025,18003,18003,1/1/1980 0:00:00,Alta,840928025,84092,P,PO BOX
233,840928026,18003,18003,1/1/1980 0:00:00,Alta,840928026,84092,P,PO BOX
